,Unnamed: 0,pitch_type,game_date,player_name,events,description,des,game_type,stand,p_throws,home_team,away_team,type,bb_type,inning_topbot,pitch_name
27,27,ST,2024-09-29,"Waldron, Matt",,called_strike,Lourdes Gurriel Jr.  singles on a sharp line drive to left fielder David Peralta.,R,R,R,AZ,SD,S,,Bot,Sweeper
28,28,KN,2024-09-29,"Waldron, Matt",field_out,hit_into_play,Corbin Carroll flies out to second baseman Jake Cronenworth.,R,L,R,AZ,SD,X,fly_ball,Bot,Knuckleball
29,29,KN,2024-09-29,"Waldron, Matt",,swinging_strike,Corbin Carroll flies out to second baseman Jake Cronenworth.,R,L,R,AZ,SD,S,,Bot,Knuckleball
30,30,FC,2024-09-29,"Waldron, Matt",,called_strike,Corbin Carroll flies out to second baseman Jake Cronenworth.,R,L,R,AZ,SD,S,,Bot,Cutter
31,31,KN,2024-09-29,"Waldron, Matt",,ball,Corbin Carroll flies out to second baseman Jake Cronenworth.,R,L,R,AZ,SD,B,,Bot,Knuckleball
32,32,ST,2024-09-29,"Waldron, Matt",,ball,Corbin Carroll flies out to second baseman Jake Cronenworth.,R,L,R,AZ,SD,B,,Bot,Sweeper
33,33,FC,2024-09-29,"Nelson, Ryne",strikeout,foul_tip,Donovan Solano strikes out on a foul tip.,R,R,R,AZ,SD,S,,Top,Cutter
34,34,SL,2024-09-29,"Nelson, Ryne",,ball,Donovan Solano strikes out on a foul tip.,R,R,R,AZ,SD,B,,Top,Slider
35,35,FF,2024-09-29,"Nelson, Ryne",,foul,Donovan Solano strikes out on a foul tip.,R,R,R,AZ,SD,S,,Top,4-Seam Fastball
36,36,FC,2024-09-29,"Nelson, Ryne",,foul,Donovan Solano strikes out on a foul tip.,R,R,R,AZ,SD,S,,Top,Cutter
37,37,FC,2024-09-29,"Nelson, Ryne",,foul,Donovan Solano strikes out on a foul tip.,R,R,R,AZ,SD,S,,Top,Cutter
38,38,FF,2024-09-29,"Nelson, Ryne",,ball,Donovan Solano strikes out on a foul tip.,R,R,R,AZ,SD,B,,Top,4-Seam Fastball
39,39,FC,2024-09-29,"Nelson, Ryne",field_out,hit_into_play,"Brandon Lockridge grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,SD,X,ground_ball,Top,Cutter
40,40,FF,2024-09-29,"Nelson, Ryne",,foul,"Brandon Lockridge grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,SD,S,,Top,4-Seam Fastball
41,41,FF,2024-09-29,"Nelson, Ryne",,foul,"Brandon Lockridge grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,SD,S,,Top,4-Seam Fastball
42,42,FF,2024-09-29,"Nelson, Ryne",,ball,"Brandon Lockridge grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,SD,B,,Top,4-Seam Fastball
43,43,SL,2024-09-29,"Nelson, Ryne",,ball,"Brandon Lockridge grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,SD,B,,Top,Slider
44,44,FF,2024-09-29,"Nelson, Ryne",,ball,"Brandon Lockridge grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,SD,B,,Top,4-Seam Fastball
45,45,FF,2024-09-29,"Nelson, Ryne",,foul,"Brandon Lockridge grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,SD,S,,Top,4-Seam Fastball
46,46,FF,2024-09-29,"Nelson, Ryne",,called_strike,"Brandon Lockridge grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",R,R,R,AZ,SD,S,,Top,4-Seam Fastball
47,47,FC,2024-09-29,"Nelson, Ryne",field_out,hit_into_play,"Tyler Wade grounds out, second baseman Ketel Marte to first baseman Christian Walker.",R,L,R,AZ,SD,X,ground_ball,Top,Cutter
48,48,FF,2024-09-29,"Nelson, Ryne",,foul,"Tyler Wade grounds out, second baseman Ketel Marte to first baseman Christian Walker.",R,L,R,AZ,SD,S,,Top,4-Seam Fastball
49,49,FF,2024-09-29,"Nelson, Ryne",,foul,"Tyler Wade grounds out, second baseman Ketel Marte to first baseman Christian Walker.",R,L,R,AZ,SD,S,,Top,4-Seam Fastball
50,50,FC,2024-09-29,"Nelson, Ryne",,called_strike,"Tyler Wade grounds out, second baseman Ketel Marte to first baseman Christian Walker.",R,L,R,AZ,SD,S,,Top,Cutter
51,51,FF,2024-09-29,"Nelson, Ryne",,swinging_strike,"Tyler Wade grounds out, second baseman Ketel Marte to first baseman Christian Walker.",R,L,R,AZ,SD,S,,Top,4-Seam Fastball
52,52,FF,2024-09-29,"Nelson, Ryne",,ball,"Tyler Wade grounds out, second baseman Ketel Marte to first baseman Christian Walker.",R,L,R,AZ,SD,B,,Top,4-Seam Fastball
53,53,KN,2024-09-29,"Waldron, Matt",field_out,hit_into_play,Ketel Marte lines out sharply to center fielder Jackson Merrill.,R,L,R,AZ,SD,X,line_drive,Bot,Knuckleball
54,54,KN,2024-09-29,"Waldron, Matt",,ball,Ketel Marte lines out sharply to center fielder Jackson Merrill.,R,L,R,AZ,SD,B,,Bot,Knuckleball
55,55,FC,2024-09-29,"Waldron, Matt",,foul,Ketel Marte lines out sharply to center fielder Jackson Merrill.,R,L,R,AZ,SD,S,,Bot,Cutter
56,56,KN,2024-09-29,"Waldron, Matt",,foul,Ketel Marte lines out sharply to center fielder Jackson Merrill.,R,L,R,AZ,SD,S,,Bot,Knuckleball
57,57,KN,2024-09-29,"Waldron, Matt",strikeout,called_strike,Geraldo Perdomo called out on strikes.,R,L,R,AZ,SD,S,,Bot,Knuckleball
58,58,SI,2024-09-29,"Waldron, Matt",,foul_tip,Geraldo Perdomo called out on strikes.,R,L,R,AZ,SD,S,,Bot,Sinker
59,59,KN,2024-09-29,"Waldron, Matt",,ball,Geraldo Perdomo called out on strikes.,R,L,R,AZ,SD,B,,Bot,Knuckleball
60,60,ST,2024-09-29,"Waldron, Matt",,ball,Geraldo Perdomo called out on strikes.,R,L,R,AZ,SD,B,,Bot,Sweeper
61,61,SI,2024-09-29,"Waldron, Matt",,called_strike,Geraldo Perdomo called out on strikes.,R,L,R,AZ,SD,S,,Bot,Sinker
62,62,FC,2024-09-29,"Waldron, Matt",field_out,hit_into_play,Gabriel Moreno flies out to center fielder Jackson Merrill.,R,R,R,AZ,SD,X,fly_ball,Bot,Cutter
63,63,SI,2024-09-29,"Waldron, Matt",,ball,Gabriel Moreno flies out to center fielder Jackson Merrill.,R,R,R,AZ,SD,B,,Bot,Sinker
64,64,FC,2024-09-29,"Waldron, Matt",,called_strike,Gabriel Moreno flies out to center fielder Jackson Merrill.,R,R,R,AZ,SD,S,,Bot,Cutter
65,65,KN,2024-09-29,"Waldron, Matt",single,hit_into_play,Jake McCarthy singles on a ground ball to first baseman Donovan Solano.,R,L,R,AZ,SD,X,ground_ball,Bot,Knuckleball
66,66,FF,2024-09-29,"Waldron, Matt",,foul,Jake McCarthy singles on a ground ball to first baseman Donovan Solano.,R,L,R,AZ,SD,S,,Bot,4-Seam Fastball
67,67,ST,2024-09-29,"Waldron, Matt",,ball,Jake McCarthy singles on a ground ball to first baseman Donovan Solano.,R,L,R,AZ,SD,B,,Bot,Sweeper
68,68,SI,2024-09-29,"Waldron, Matt",,foul,Jake McCarthy singles on a ground ball to first baseman Donovan Solano.,R,L,R,AZ,SD,S,,Bot,Sinker
69,69,FF,2024-09-29,"Waldron, Matt",home_run,hit_into_play,Eugenio Suárez homers (30) on a fly ball to center field.,R,R,R,AZ,SD,X,fly_ball,Bot,4-Seam Fastball
70,70,ST,2024-09-29,"Waldron, Matt",,foul,Eugenio Suárez homers (30) on a fly ball to center field.,R,R,R,AZ,SD,S,,Bot,Sweeper
71,71,KN,2024-09-29,"Waldron, Matt",,ball,Eugenio Suárez homers (30) on a fly ball to center field.,R,R,R,AZ,SD,B,,Bot,Knuckleball
72,72,ST,2024-09-29,"Waldron, Matt",,foul,Eugenio Suárez homers (30) on a fly ball to center field.,R,R,R,AZ,SD,S,,Bot,Sweeper
73,73,FF,2024-09-29,"Waldron, Matt",,foul,Eugenio Suárez homers (30) on a fly ball to center field.,R,R,R,AZ,SD,S,,Bot,4-Seam Fastball
74,74,KN,2024-09-29,"Waldron, Matt",,ball,Eugenio Suárez homers (30) on a fly ball to center field.,R,R,R,AZ,SD,B,,Bot,Knuckleball
75,75,FF,2024-09-29,"Waldron, Matt",,swinging_strike,Eugenio Suárez homers (30) on a fly ball to center field.,R,R,R,AZ,SD,S,,Bot,4-Seam Fastball
